	url	title
357	/wiki/Battle_of_Artaxata	Battle of Artaxata
358	/wiki/Battle_of_Korakesion	Battle of Korakesion
359	/wiki/Battle_of_Jushi	Battle of Jushi
360	/wiki/Battle_of_the_Lycus	Battle of the Lycus
361	/wiki/Battle_of_the_Pelorus	Battle of the Pelorus
362	/wiki/Battle_of_Pistoria	Battle of Pistoria
363	/wiki/Battle_of_the_Arar	Battle of the Arar
364	/wiki/Battle_of_Bibracte	Battle of Bibracte
365	/wiki/Battle_of_Vosges_(58_BC)	Battle of Vosges (58 BC)
366	/wiki/Battle_of_the_Axona	Battle of the Axona
367	/wiki/Battle_of_the_Sabis	Battle of the Sabis
368	/wiki/Battle_of_Carrhae	Battle of Carrhae
369	/wiki/Battle_of_Bovillae	Battle of Bovillae
370	/wiki/Battle_of_Gergovia	Battle of Gergovia
371	/wiki/Battle_of_Alesia	Battle of Alesia
372	/wiki/Siege_of_Massilia	Siege of Massilia
373	/wiki/Battle_of_Ilerda	Battle of Ilerda
374	/wiki/Battle_of_Utica_(49_BC)	Battle of Utica (49 BC)
375	/wiki/Battle_of_the_Bagradas_River_(49_BC)	Battle of the Bagradas River (49 BC)
376	/wiki/Battle_of_Dyrrhachium_(48_BC)	Battle of Dyrrhachium (48 BC)
377	/wiki/Battle_of_Pharsalus	Battle of Pharsalus
378	/wiki/Battle_of_Nicopolis_(48_BC)	Battle of Nicopolis (48 BC)
379	/wiki/Battle_of_the_Nile_(47_BC)	Battle of the Nile (47 BC)
380	/wiki/Siege_of_Alexandria_(47_BC)	Siege of Alexandria (47 BC)
381	/wiki/Battle_of_Zela	Battle of Zela
382	/wiki/Battle_of_Ruspina	Battle of Ruspina
383	/wiki/Battle_of_Thapsus	Battle of Thapsus
384	/wiki/Battle_of_Munda	Battle of Munda
385	/wiki/Battle_of_Forum_Gallorum	Battle of Forum Gallorum
386	/wiki/Battle_of_Mutina	Battle of Mutina
387	/wiki/First_Battle_of_Philippi	First Battle of Philippi
388	/wiki/Second_Battle_of_Philippi	Second Battle of Philippi
389	/wiki/Battle_of_Perugia	Battle of Perugia
390	/wiki/Battle_of_Naulochus	Battle of Naulochus
391	/wiki/Battle_of_Zhizhi	Battle of Zhizhi
392	/wiki/Battle_of_Actium	Battle of Actium
393	/wiki/Battle_of_Alexandria_(30_BC)	Battle of Alexandria (30 BC)
394	/wiki/Battle_of_the_Lupia_River	Battle of the Lupia River
395	/wiki/Battle_of_the_Teutoburg_Forest	Battle of the Teutoburg Forest
396	/wiki/Battle_of_the_Weser_River	Battle of the Weser River
397	/wiki/Battle_of_Kunyang	Battle of Kunyang
398	/wiki/Battle_of_the_Medway	Battle of the Medway
399	/wiki/Battle_of_Caer_Caradock	Battle of Caer Caradock
400	/wiki/Battle_of_Camulodunum	Battle of Camulodunum
401	/wiki/Battle_of_Watling_Street	Battle of Watling Street
402	/wiki/Battle_of_Rhandeia	Battle of Rhandeia
403	/wiki/Battle_of_Beth_Horon_(66)	Battle of Beth Horon (66)
404	/wiki/Siege_of_Yodfat	Siege of Yodfat
405	/wiki/Siege_of_Gamla	Siege of Gamla
406	/wiki/Battle_of_Bedriacum	Battle of Bedriacum
407	/wiki/Second_Battle_of_Bedriacum	Second Battle of Bedriacum
408	/wiki/Battle_of_Locus_Castorum	Battle of Locus Castorum
409	/wiki/Siege_of_Jerusalem_(70)	Siege of Jerusalem (70)
410	/wiki/Battle_of_Stanwick	Battle of Stanwick
411	/wiki/Battle_of_Yiwulu	Battle of Yiwulu
